step,datetime,actual_mw,static_prediction,dynamic_prediction,inline_prediction,static_rolling_mae,dynamic_rolling_mae,inline_rolling_mae,static_error,dynamic_error,inline_error,dynamic_retrain_count,dynamic_drift_active,inline_retrain_count,inline_drift_active,inline_retraining_in_progress
1623,2019-03-09 15:00:00,28531.913,28758.70748,29596.48327,29813.874,4031.578181875,1123.3015516666665,1153.3485443750003,226.79448000000048,1064.5702700000002,1281.9609999999993,1,False,1,False,False
1624,2019-03-09 16:00:00,29170.685,28737.23945,29090.02683,29305.47845,3929.7742668749997,1116.1723466666665,1139.5395441666672,433.44555000000037,80.65817000000243,134.7934499999974,1,False,1,False,False
1625,2019-03-09 17:00:00,30426.392,28723.18867,28224.865899999997,28414.03645,3831.6560702083334,1111.1129083333328,1137.2148320833337,1703.2033300000003,2201.5261000000028,2012.3555500000002,1,False,1,False,False
1626,2019-03-09 18:00:00,31996.685,29015.482340000002,26898.742009999998,26840.006209999996,3738.111841041667,1106.0886191666664,1120.858837916667,2981.202659999999,5097.942990000003,5156.678790000005,1,False,1,False,False
1627,2019-03-09 19:00:00,32097.814,29160.36399,26209.77217,26224.14052,3643.168492916667,1099.529860208333,1105.200909791667,2937.450009999997,5888.041829999998,5873.673479999998,1,False,1,False,False
1628,2019-03-09 20:00:00,31655.808,29155.12829,26652.32487,26551.982910000002,3552.4354629166664,1110.2875960416666,1101.0954312500005,2500.6797100000003,5003.4831300000005,5103.825089999998,1,False,1,False,False
1629,2019-03-09 21:00:00,30850.86,29097.92178,26655.81658,26606.48812,3471.2503087500004,1133.2799083333332,1112.6215533333336,1752.93822,4195.043420000002,4244.371879999999,1,False,1,False,False
1630,2019-03-09 22:00:00,29605.617,29086.955280000002,26869.41697,26760.9211,3408.625545625,1122.8606139583333,1099.6650470833338,518.6617199999964,2736.20003,2844.695899999999,1,False,1,False,False
1631,2019-03-09 23:00:00,28303.49,29086.955280000002,27178.266509999998,27442.350010000002,3372.0869145833335,1115.5278904166664,1093.9839456250004,783.4652800000003,1125.223490000004,861.1399899999997,1,False,1,False,False
1632,2019-03-10 00:00:00,27130.105000000003,29134.94618,28463.49122,28233.02737,3390.441732291667,1107.3789629166668,1082.5673635416672,2004.8411799999958,1333.3862199999967,1102.9223699999966,1,False,1,False,False
1633,2019-03-10 01:00:00,26563.923,29141.1385,28577.35124,28385.39141,3418.796879791667,1110.2451760416668,1088.4992943750005,2577.215500000002,2013.428240000001,1821.4684100000013,1,False,1,False,False
1634,2019-03-10 03:00:00,26336.774,29120.52476,28102.719250000002,28309.045609999997,3444.824929583334,1116.591753125,1092.1725943750005,2783.750759999999,1765.9452500000007,1972.2716099999961,1,False,1,False,False
1635,2019-03-10 04:00:00,26043.66,29140.65273,27653.55406,27744.1059,3468.492863541667,1127.8946585416668,1101.537407916667,3096.9927300000018,1609.8940599999987,1700.4458999999988,1,False,1,False,False
1636,2019-03-10 05:00:00,26379.915,29240.62837,27361.16365,27428.417999999998,3463.494177083334,1116.0729972916668,1095.1017416666673,2860.7133699999977,981.2486499999977,1048.502999999997,1,False,1,False,False
1637,2019-03-10 06:00:00,27038.542,29110.01032,26871.808289999997,27085.69554,3399.3079487500004,1110.211209375,1083.2068618750006,2071.46832,166.73371000000407,47.15353999999934,1,False,1,False,False
1638,2019-03-10 07:00:00,27938.672,28894.075689999998,26373.646429999997,26796.260609999998,3255.5900383333337,1101.9684166666666,1073.0248729166672,955.4036899999992,1565.0255700000016,1142.4113900000011,1,False,1,False,False
1639,2019-03-10 08:00:00,28686.178,28763.0856,26395.661159999996,26388.827279999998,3255.5900383333337,1101.9684166666666,1073.0248729166672,76.90759999999864,2290.516840000004,2297.350720000002,1,False,1,False,False
1640,2019-03-10 09:00:00,29352.595,28719.24334,26631.08617,26745.431539999998,3076.403331041667,1107.8845897916665,1058.6633585416673,633.3516600000003,2721.5088300000025,2607.1634600000034,1,False,1,False,False
1641,2019-03-10 10:00:00,29606.165,28764.16452,27301.38399,27352.78136,2919.9905664583334,1111.3550964583333,1058.6525145833339,842.0004800000024,2304.7810100000024,2253.38364,1,False,1,False,False
1642,2019-03-10 11:00:00,29355.427000000003,28764.16452,28723.444760000002,28926.10977,2770.0372925000006,1118.4204047916667,1071.3674429166674,591.2624800000049,631.9822400000012,429.3172300000042,1,False,1,False,False
1643,2019-03-10 12:00:00,28880.43,28764.16452,29626.5351,29637.10148,2634.4605241666673,1136.6105739583336,1073.2476939583341,116.26548000000184,746.1051000000007,756.6714800000009,1,False,1,False,False
